单词,美音,definition,简明释义,精选短语
assess,/ əˈses /,to judge something's value or suitability,v. 评价，评定；估价，估计,
register,/ ˈredʒɪstər /,to record your name on an official list; sign up,n. 登记表，注册簿；注册员 v. 登记，注册；（正式地或公开地）发表意见，提出主张 其他 【名】 （Register）（美）雷吉斯特（人名）,register for: 注册；选课 | register with: 向…登记 | cash register: 现金出纳机，收银机
asset,/ ˈæset /,a person or thing that has value or use to someone or to a company,n. 有利条件，有价值的人或物；资产，财产 其他 【名】（Asset）（法）阿塞（人名）,asset management: 资产管理 | fixed asset: [经]固定资产 | intangible asset: n. 无形资产
signal,/ ˈsɪɡnəl /,"An action, change, or process that gives information about something",n. 信号，暗号；标志，预示 v. 发信号，示意；标志，预示 adj. 重大的，显要的；作为信号的 其他 【名】 （Signal）（瑞典）西格纳尔（人名）,signal processing: 信号处理 | digital signal: 数字信号 | digital signal processing: 数字信号处理
finger,/ ˈfɪŋɡər /,one of the five long parts of the hand,n. 手指；（手套的）手指部分 v. 用手指触摸；<美>告发，告密 其他 【名】 （Finger）（英、德、捷）芬格，（俄）芬格尔（人名）,middle finger: 中指 | index finger: 食指 | little finger: 小指
relevant,/ ˈreləvənt /,direct related to a subject in a considerable way,adj. 有关的，切题的；正确的，适宜的,relevant information: 相关信息 | relevant data: 有关数据 | relevant experience: 相关工作经验
explore,/ ɪkˈsplɔːr /,to learn about something by examining in detail or someplace by traveling to it,v. 探讨，探究；考察，探索,
leadership,/ ˈliːdərʃɪp /,quality of being able to guide or influence others,n. 领导，领导地位；领导才能,under the leadership of: 在…领导下 | leadership style: 领导风格；领袖风格 | leadership skill: 领导技巧；领导技能；领导艺术
commitment,/ kəˈmɪtmənt /,a promise or decision to do something; something that you must do that takes your time,n. 忠诚，献身；承诺，保证,organizational commitment: 组织承诺；组织认同感 | professional commitment: 专业承诺 | make a commitment: 承诺
wake,/ weɪk /,to stop sleeping; to make someone stop sleeping,v. 唤醒，醒来；唤起，激起 n. （葬礼前后的）守夜，守灵；（航行中的船等留下的）尾流，航迹 其他 【名】 （Wake）（英）韦克（人名）,wake up: 醒来，起床；开始警觉；开始了解真相 | in the wake of: 紧紧跟随；随着…而来；作为…的结果；仿效 | wake up call: 叫醒电话
necessarily,/ ˌnesəˈserəli /,"in a way that is needed or required, or is unavoidable",adv. 必定，必然；必要地,
bright,/ braɪt /,producing a lot of light,adj. 明亮的；鲜艳的 n. <美>前大灯，头灯；明亮醒目的颜色 adv. <文>光亮地，明亮地 其他 【名】 （Bright）（英）布赖特（人名）,bright future: 光明的未来，光明的前途 | bright red: 鲜红；亮红色 | bright color: 明亮的颜色
frame,/ freɪm /,"(n) 1. the basic structure of something that gives it its shape, to which other parts are added; 2. one picture in a series that make a video; (v) 1. to put a picture in a supporting structure; 2. to produce false evidence so an innocent person appears guilty of a crime",n. 框架，边框；（家具、建筑物、车辆等的）构架，支架 v. 装框架；勾勒出 adj. 有木架的 其他 【名】 （Frame）（英）弗雷姆（人名）,frame structure: 框架结构；帧结构 | steel frame: 钢架；钢骨架 | frame in: 进入；框以…
slowly,/ ˈsloʊli /,done in a way that takes a long time,adv. 缓慢地，慢慢地,slowly but surely: 稳扎稳打，踏实的
bond,/ bɑːnd /,"something that joins or connects people, groups, or parts; a duty or promise to another; glue",n. 纽带，联系；公债，债券 v. （使）建立亲密关系；与……黏合（或连接） 其他 【名】 （Bond）（英、德、西、瑞典）邦德（人名）,bond market: 债券市场 | in bond: （进口货物）在关栈中；保税 | bond strength: [化]粘合强度；键强度
hire,/ ˈhaɪər /,to employ a person to do a particular job,v. <英>租用，租借；聘用，录用 n. 租借，租金；<美>被雇用的人 其他 【名】 （Hire）（美、印）希尔（人名）,for hire: 供出租 | hire purchase: n. 分期付款购买 | on hire: 出租的；雇用
hole,/ hoʊl /,opening into or through something,n. 洞，坑；裂口，开口 v. （尤指给船）钻洞，打洞；击球入洞 其他 【名】 （Hole）（瑞典、挪）霍勒，（英）霍尔（人名）；（Hole）（英）霍尔，（瑞典、挪）霍勒（人名）,hole in: 躲藏，暂住；过夜 | in the hole: 负债，亏空；遇到经济困难 | black hole: n. 黑洞
tie,/ taɪ /,to join together two ends of string or rope; to join two or more things together with string or rope,v. （用线、绳索等）系，扎，捆；将……系在……上，系牢 n. 领带，领结；（绑扎东西用的）带子，绳子 其他 【名】 （Tie）狄（人名）,tie in: 使结合；使配合得当 | tie with: 在比赛中得分与…相同 | tie up: 占用；包扎；绑好；缚牢；阻碍；密切联系；合伙；停泊
internal,/ ɪnˈtɜːrn(ə)l /,within or inside,adj. 内部的，体内的；内政的，国内的 n. 内部部件，内部特征；内脏,internal control: 内部控制；内控 | internal force: 内力 | internal audit: 内部审计，内部稽核
chain,/ tʃeɪn /,"series of connected  things, events, or people",n. 链，链条；一连串，一系列 v. 用锁链拴住；拘禁，束缚,supply chain: 供应链；供给链；供需链 | supply chain management: 供应连锁管理 | value chain: 价值链
literature,/ ˈlɪtərətʃʊr; ˈlɪtrətʃər; ˈlɪtrətʃʊr /,"writings that are valued as works of art, esp. fiction, drama and poetry",n. 文学，文学作品；（某一学科的）文献，著述,literature review: 文献回顾；文献综述；文献评论 | literature and art: 文艺；文学与艺术 | english literature: 英国文学；英语文化
victim,/ ˈvɪktɪm /,"person who has suffered from a crime, bad situation, or event",n. 受害者，罹难者；（面对不幸事件或虐待时的）无助者，患病者,fall victim to: 成为…的牺牲品；成为…的受害者；屈服于…；被…降服 | fashion victim: 时髦罹难者
threaten,/ ˈθret(ə)n /,to say you will harm or hurt someone,v. 威胁，恐吓；危及，对……构成威胁,
division,/ dɪˈvɪʒ(ə)n /,act of separating something into parts; groups formed by different functions or opinions,n. 分开，分配；除法,division of labor: 劳动力的分工 | frequency division: 分频；频率划分 | administrative division: 行政区域
secure,/ sɪˈkjʊr /,"to protect something from danger or harm, keep things safe",adj. 稳固的，可靠的；严密把守的，牢固的 v. （尤指经过努力而）获得，得到；使安全，保护,secure communication: 保密通信；安全通信 | secure electronic transaction: 安全电子交易 | secure sockets layer: 安全套层；安全套接层
amaze,/ əˈmeɪz /,to cause wonder; to surprise completely,v. 使惊奇，使惊愕,
device,/ dɪˈvaɪs /,"object, machine, or equipment for a specific use",n. 装置，设备；手段，方法,control device: 控制装置，控制器 | medical device: 医疗设备；医疗器材；人体医疗配件 | protection device: 保护设备；防护设备
birth,/ bɜːrθ /,when a baby comes out of the body of its mother,n. 出生，诞生；出身，血统 v. <北美，非正式>生，产,give birth: 生孩子；产仔 | at birth: 生下来时 | birth control: 避孕；节育
forest,/ ˈfɔːrɪst /,large area with many trees,n. 森林，林区；（森林似的）一丛，一片 v. 被森林覆盖，植林于 其他 【名】 【名】（Forest）福雷斯特（人名）,forest resources: 森林资源 | forest park: 森林公园 | forest fire: 森林火灾；森林大火；山火
label,/ ˈleɪb(ə)l /,a piece of paper or cloth that is attached to something and gives information about it,n. 标签，标牌；称号，绰号 v. 贴标签；把……不公正地称为 其他 【名】 （Label）（美、法、巴）拉贝尔（人名）,private label: 自有品牌；私有品牌；商店自用品牌 | record label: 唱片公司；记录标记 | adhesive label: 胶粘标签；不干胶标签
root,/ ruːt /,part of a plant that grows underground,n. 根，根茎；（牙齿、头发等的）根部 v. （使）生根；扎根于，在……中根深蒂固 adj. （蔬菜、作物等）块根的，根茎可食用的 其他 【名】 （Root）（英）鲁特，（德、瑞典）罗特（人名）,root cause: 根本原因 | root in: 来源于；起因于 | root system: 根系；根轴系
factory,/ ˈfækt(ə)ri /,building where things are made,n. 工厂，制造厂；（在外国的）代理店,hardware factory: 五金厂 | factory building: 厂房 | furniture factory: 家具厂
expense,/ ɪkˈspens /,the amount of money that is needed to pay for something,n. 代价，费用；业务费用，报销（expenses） v. <非正式>把……记入费用账户；向……收取费用,at the expense of: 以…为代价；由…支付费用 | at the expense: 以…为代价 | daily expense: 每日费用
channel,/ ˈtʃæn(ə)l /,"1. a narrow, deep body of water used by ships; 2. a system used for sending something from one place or person to another",n. 频道，电视频道；管道，通道，航道 v. 引导，把……用于；输送，传送 其他 【名】 （Channel）（美）沙内乐（人名）,marketing channel: 销售渠道，行销通道 | main channel: 主通道 | change the channel: [美国俚语]转移话题
investigate,/ ɪnˈvestɪɡeɪt /,to try to find out facts; to carry out research,v. 侦察（某事）；调查（某人）,investigate into: 对……进行调查
recommendation,/ ˌrekəmenˈdeɪʃ(ə)n /,suggestion about someone or something being a good choice,n. 正式建议，提议；推荐，介绍,letter of recommendation: 保荐信，介绍信 | recommendation letter: 推荐信 | on the recommendation of: 通过…的推荐
rank,/ ræŋk /,to place someone or something in higher or lower position relative to others,n. 军衔，军阶；（社会、团体中的）地位，等级 v. 把……分等级，属于某等级；<美>级别高于，地位高于 adj. （植被）茂密的，芜生蔓长的；难闻的，恶臭的 其他 【名】 （Rank）（英、德、芬、捷）兰克（人名）,in the ranks: 当兵，当战士 | in rank: 成行列；成队列 | first rank: 一流的
typical,/ ˈtɪpɪk(ə)l /,normal; usual; expected,adj. 典型的，有代表性的；一贯的，平常的,typical of: 是……的典型特征 | typical form: 典型式，代表式 | typical project: 样板工程
west,/ west /,the direction where the sun sets; opposite of east,"n. 西，西方；（某个国家、地区或地方的）西部 adj. 西方的,向西的；（风）来自西方的 adv. 向西方，朝西方；……以西 其他 【名】 （West）（英、德、芬、瑞典）韦斯特（人名）",in the west: 在西方，在西方（国家） | west of: 在…以西 | west lake: 杭州西湖
friendly,/ ˈfrendli /,acting like a friend; kind and helpful,adj. 亲切的，友善的；朋友（般）的，要好的 cn. 友谊赛 其他 【名】 （Friendly）（英）弗兰德利（人名）,environmentally friendly: 保护生态环境的；对生态环境无害的 | environmental friendly: 环保的 | environment friendly: 环保的；对环境有利的
resident,/ ˈrezɪdənt /,someone who lives in a particular place,n. 居民，住户；（旅馆的）住宿者 adj. （在某地）居住的，居留的；常驻的,permanent resident: 永久性居民 | local resident: 当地居民 | resident representative: 居民代表；驻地代表
provision,/ prəˈvɪʒ(ə)n /,1. supplies that are needed or wanted; something that is supplied; 2. part of a law or an agreement,n. 提供，供应；准备，预备 v. 为……提供所需物品（尤指食物）；（为已知债务）留出准备金,make provision for: 为…预先采取措施；为…作好准备 | special provision: 特别规定；专门条款 | general provision: 普通准备金
concentrate,/ ˈkɑːns(ə)ntreɪt /,to give all your attention to a task; focus,v. 集中注意力，聚精会神；使集中，聚集 n. 浓缩物，浓缩液,concentrate on: 集中精力于；全神贯注于 | copper concentrate: 铜精矿 | ore concentrate: 精矿
plenty,/ ˈplenti /,a large  amount of something; a lot; not too little,n. 富裕，充裕 pron. 大量，众多 adv. 大量，很多；<非正式>非常，十分 det. <非正式>很多，大量 其他 【名】 （Plenty）普伦蒂（人名）,plenty of: 大量；很多；许多 | plenty of time: 大量时间 | in plenty: 大量；充足
export,/ ɪkˈspɔːrt; ˈekspɔːrt /,to send goods to be sold in another country,v. 出口；传播，输出 n. 出口，输出；出口物，输出品 adj. 出口的,import and export: 进出口；导入和导出；输入和输出 | export trade: 出口贸易；出口商 | export commodities: 出口商品
entirely,/ ɪnˈtaɪərli /,fully or completely,adv. 完全地，完整地；仅仅，只,
strongly,/ ˈstrɔːŋli /,in a strong manner; in a very serious way,adv. 坚定地；强有力地,feel strongly about: 对…抱强硬态度
bridge,/ brɪdʒ /,"structure built over river or road so people, vehicles, or animals can cross",n. 桥；桥梁，纽带 v. 弥合（分歧），消除（隔阂）；兼具……的特点 其他 【名】 （Bridge）（英）布里奇（人名）,arch bridge: 拱形桥 | suspension bridge: 吊桥 | bridge construction: 桥梁施工；桥梁结构；桥梁建筑
consist,/ kənˈsɪst; ˈkɑːnsɪst /,"to have as an essential, necessary or main part",v. 由……组成，由……构成；在于，存在于 n. （铁路）车列,consist of: 由…构成 | consist in: 在于；存在于 | consist with: 符合；与…一致
graduate,/ ˈɡrædʒuət; ˈgrædʒuˌeɪt /,(v) to receive a degree from a college or university; (n) a person who has received a degree,n. 大学毕业生，学士学位获得者；毕业生 v. 获得学位（尤指学士），大学毕业；毕业（尤指中学） adj. （课程、学业）研究生的,graduate student: n. 研究生；毕业生 | graduate school: 研究所，研究院 | graduate from: v. 从…毕业
brand,/ brænd /,name given to a product or service,n. 品牌，商标；（独特的）一种，一类 v. 打烙印于（牲畜，以标明所属）；给……冠以恶名，谴责 其他 【名】 （Brand）（英、美、德、瑞）布兰德（人名）,famous brand: 名牌，名牌货 | brand new: 全新的；崭新的 | brand image: 品牌形象
moral,/ ˈmɔːrəl /,relating to people's belief about right or wrong behavior,adj. 有关道德的；基于道德的，道义上的 n. 道德准则（标准）；寓意，道德上的教训 其他 【名】 （Moral）（德、法、西、葡、土）莫拉尔（人名）,moral education: 道德教育 | moral character: 品德 | moral hazard: 道德危机；由于投保人可能不可靠所冒的风险
insist,/ ɪnˈsɪst /,to state your opinion strongly and firmly; to demand that something must happen,v. 坚决要求，执意坚持；坚称,insist on: 坚持，坚决要求；督促，强调 | insist upon: 坚持…
combination,/ ˌkɑːmbɪˈneɪʃ(ə)n /,result of mixing things together,n. 结合体，联合体；结合，联合,combination of: …的组合 | in combination: 结合 | combination with: 与…结合
abuse,/ əˈbjuːs /,"to treat someone or something in a way that is cruel, harmful, or wrong",v. 虐待；滥用，辜负 n. 虐待，凌辱；滥用，妄用 其他 【名】 （Abuse）（英）阿比斯（人名）,drug abuse: 药物滥用；毒品滥用 | child abuse: 虐待儿童，摧残儿童 | substance abuse: 物质滥用；滥用药物
ice,/ aɪs /,frozen water ,n. 冰；冰块 v. 在（糕饼上）加糖霜；冷却，冰镇 adj. 冰的 其他 【名】 （Ice）（英）艾斯，（法）伊斯（人名）,ice cream: 冰淇淋 | on ice: 在狱中；有成功或胜利把握；搁置起来的；暂缓 | sea ice: 海冰；海上浮冰
principal,/ ˈprɪnsəp(ə)l /,1. most important; main; 2.  the person in charge of a (US) public school,adj. 最重要的，首要的；本金的，母金的 n. <美>（美国公立中小学的）校长；<英>（英国的）大学校长，学院院长,principal component: 主成分；[化]知组分 | principal component analysis: 主成分分析 | principal and interest: 本利，本金及利息
master,/ ˈmæstər /,1. someone who has control over others; 2. someone who is very skilled at doing something,n. 雇主，主子；主宰者，控制者 v. 精通，掌握；控制，掌控 adj. 熟练的，精通的；最重要的，主要的 其他 【名】 （Master）马斯特（人名）,master of: 控制；精通…的能手 | master degree: 硕士学位；研究生 | master plan: 总体规划；蓝图
definitely,/ ˈdefɪnətli /,without question; beyond doubt,adv. 肯定地，当然；明确地，确定地,
session,/ ˈseʃ(ə)n /,period of time for doing a particular activity,n. （某项活动的）一段时间，一场；（议会等的）会议，（法庭的）开庭 adj. （音乐家）伴奏的,plenary session: 全体大会 | training session: 练习课；培训课程；训练项目 | in session: 在开庭；在开会；在上课
grade,/ ɡreɪd /,level of study that is completed by a student,n. 等级，品级；（工作岗位，官衔等的）级别，职别 v. 按照级别安排或分配，分类；给……评分 其他 【名】 （Grade）（英）格雷德，（法、德、西、葡、塞、瑞典）格拉德（人名）,high grade: 高品位；高级的 | top grade: 优级，最高级 | low grade: 低级的；低质量的
nevertheless,/ ˌnevərðəˈles /,despite what has just been done or said; nonetheless,adv. 然而，不过,
predict,/ prɪˈdɪkt /,to guess or estimate what will or might happen,v. 预言，预计，预卜,
previously,/ ˈpriːviəsli /,at an earlier time,adv. 以前地，先前地,
protection,/ prəˈtekʃn /,being kept from harm,n. 保护，防护；保护物，护身符,environmental protection: 环境保护 | environment protection: 环境保护；环境保扩 | protection system: 保护系统
largely,/ ˈlɑːrdʒli /,in large part; mainly or chiefly,adv. 很大程度上，主要地,
wed,/ wed /,to marry; to get married,v. 结婚，娶，嫁；（使）结合,
rent,/ rent /,to pay money for the use of something,n. 租金，租用费；（布等上面的）破洞，裂口 vt. 租用，租借；出租，将……租给 v. 撕裂，扯碎；（声音）响彻，刺破 其他 【名】  （Rent）（瑞典）伦特（人名）,for rent: 出租；供出租 | rent out: 租出 | pay the rent: 付租金
shot,/ ʃɑːt /,"the act of firing a gun, or kicking or throwing a ball at a goal",n. 射击，开枪（或炮），枪声；射手，枪手 adj. 杂色的，闪色的；破烂不堪，筋疲力尽 v. 开（枪），射击；射出（弓箭等）,shot down: 击落，打垮 | one shot: 单次对焦；一次使用 | like a shot: 立刻；飞快地
appearance,/ əˈpɪrəns /,way that someone or something looks,n. 露面，演出；出庭，到场,in appearance: adv. 在外表上 | outward appearance: 外观；外表 | elegant appearance: 美观大方
reasonable,/ ˈriːz(ə)nəb(ə)l /,fair and sensible; appropriate,adj. 有道理的，合情理的；（人）通情达理的，讲道理的,reasonable price: 合理价格；价格公道 | reasonable distribution: 合理级配 | reasonable time: 合理期限；适当的时间
guarantee,/ ˌɡærənˈtiː /,to make a formal promise that something will happen or be done.,v. 确保，保证；担保，为……作保 n. 保证，担保；保修单，质量保证书,quality guarantee: 品质保证，质量保证 | credit guarantee: 信用担保；信贷保证 | guarantee period: 保修期；保质期
till,/ tɪl /,until,prep. 直到，到……为止；<苏格兰>向，朝 conj. 直到，到……为止 n. （商店等处的）现金出纳机，收银机；<英，非正式>（大商店中的）交款处，收银枱 v. 耕作，犁地 其他 【名】 （Till）（德）蒂尔（人名）,
theme,/ θiːm /,main subject to discuss or describe,n. （谈话、书籍、电影等的）题目，主题；（音乐的）主旋律 adj. 以奇想主题布置的 v. （休闲场所、活动）以……主题,theme park: n. （游乐园中的）主题乐园 | main theme: 雪天使圆舞曲；主题曲 | theme song: 主题歌；信号曲；老套话
judgment,/ ˈdʒʌdʒmənt /,opinion that is made after careful consideration,n. 判断，看法；判断力，识别力,value judgment: 价值判断 | judgment day: 世界末日；最后审判日 | final judgment: 终审；最终判决；终局判决；最后判决
odd,/ ɑːd /,being strange or different from what is usual or expected,adj. 奇怪的，反常的；偶然出现的，偶尔发生的 adv. （用于数字后）大约，左右 其他 【名】 （Odd）（英、西、挪、瑞典）奥德（人名）,odd number: 奇数 | odd couple: 出人意料互不相配的一对 | at odd: 争执；奇数
approve,/ əˈpruːv /,to have a positive opinion of someone or something,v. 同意，赞成；批准，通过,approve oneself: [古语]证明为，表明为 | approve of: 赞成 | examine and approve: 审批
loan,/ loʊn /,something (usually money) that is given to someone for a period of time with a promise that it will be returned,n. 贷款，借款；借用，借出 v. 借出，借给,on loan: 借用；借贷；借调 | bank loan: 银行贷款 | mortgage loan: 按揭贷款；抵押借款
definition,/ ˌdefɪˈnɪʃn /,"explanation of word's meaning, as in dictionaries",n. 定义，释义；榜样，典范,definition of: 定义 | by definition: 按照定义；当然地；明显地 | high definition: 高清晰度
elect,/ ɪˈlekt /,choose someone for a position usually by voting ,v. 选举；选择（做） adj. 候任的；选中的，卓越的 n. 上帝的选民（the elect）；特权阶层,president elect: 当选总统（尚未就职的）
atmosphere,/ ˈætməsfɪr /,The mixture of gases surrounding the Earth; the feeling that a place or situation gives you,n. （包围地球或其他行星的）大气，大气层；（房间或其他场所内的）空气,earth's atmosphere: 地球大气 | social atmosphere: 社会气氛 | academic atmosphere: n. 学业风气，学习氛围
farmer,/ ˈfɑːrmər /,"someone who owns or looks after farm, a place for growing crops and keeping animals",n. 农夫，农民 n. （Farmer）（英）法默；（法）法尔梅,dairy farmer: 奶农；畜牧工人
comparison,/ kəmˈpærɪsn /,looking for differences and similarities in two or more things,n. 比较，对照；相提并论，相比,comparison with: 与…相比 | in comparison: adj. 相比之下；与……比较 | in comparison with: 与…比较，同…比较起来
characteristic,/ ˌker.ək.təˈrɪs.tɪk /,a typical feature or quality that a particular person or thing has,n. 特征，特点，特色 adj. 独特的，典型的,characteristic of: 特有的；表示…特性的 | dynamic characteristic: 动态特性；负载特性曲线 | characteristic curve: 特性曲线；特征曲线
license,/ ˈlaɪs(ə)ns /,official document which allows a person to do or have something,n. 执照，许可证；特许（同 licence） vt. 许可；特许,business license: 营业执照；运业执照 | license plate: 牌照 | driver's license: 驾驶执照
rely,/ rɪˈlaɪ /,able to depend on,v. 相信，信赖；依靠，依赖,rely on: 依靠，依赖
narrow,/ ˈnæroʊ /,long but not wide; a small distance from one side to the other compared to length,adj. 狭窄的，狭小的；（想法、态度或信仰）狭隘的 v. （人的眼睛）眯起来；使缩小，压缩 n. 海峡；狭窄部分,narrow sense: 狭义 | narrow band: [计]窄带，窄频带；[经]狭小汇率幅度 | narrow strip: 窄带钢；窄带材
succeed,/ səkˈsiːd /,to finally achieve something that you were trying to achieve,v. 成功，达成；（学业、事业或其他活动）表现出色，有作为,succeed in: 成功；在…方面成功；顺利完成 | succeed someone as: 接任某人的职务 | succeed at: 成功方面，在…方面成功
identity,/ aɪˈdentəti /,who someone is; the collection of qualities that makes a person,n. 身份，本体；个性，特性,identity card: 身份证 | cultural identity: 文化身份；文化认同 | national identity: 国家认同；民族认同
desk,/ desk /,a piece of furniture like a table often with drawers,n. 书桌，办公桌，写字台；服务台，问询台 adj. 书桌的，桌上适合用的,information desk: 服务台，问询处 | front desk: 前台；服务台 | reception desk: 接待处（等于front desk）
permit,/ pərˈmɪt /,to allow someone to do something or for something to happen,v. 批准，许可；（使）成为可能 n. 执照，许可证；古氏鲳鲹,work permit: 工作许可证 | residence permit: 居留证 | permit of: 允许；容许有
seriously,/ ˈsɪriəsli /,in a serious way; in a way that shows something is important,adv. 严重地，恶劣地；严肃地，认真地,take seriously: 重视；认真对待… | seriously ill: 病重 | take it seriously: 认真对待；当真
wild,/ waɪld /,living in nature; not tame,adj. （动植物）自然生长的，野生的；（土地）无人烟的，未开垦的 adv. 自然地，不受控制地 n. 偏远地区，人烟稀少的地区；自然环境，野生状态 v. <西印度> 野蛮对待，残酷对待 其他 【名】 （Wild）（英）怀尔德，（法、德、葡、捷、匈）维尔德（人名）,in the wild: 在野外，野生的；在自然环境下 | wild flower: 野花 | wild animal: n. 野生动物；野兽
empty,/ ˈempti /,containing nothing; with no contents,adj. 空的；空洞的，无意义的 v. 清空；变空 n. 空容器,feel empty: [口语]觉得饿 | empty space: 真空，真空区；架空层；空档 | empty stomach: 空腹
commission,/ kəˈmɪʃ(ə)n /,a group officially put in charge of finding out about something or controlling something,n. 考察团，委员会；佣金，回扣 v. 委托撰写，委托制作；委任，任命……为军官,arbitration commission: [经]仲裁委员会 | on commission: 抽取佣金；受托代销；被授权 | european commission: 欧洲委员会
unique,/ juˈniːk /,unlike other things; being the only one like it,adj. 独一无二的，独特的；非常特别的，极不寻常的 n. <古>独一无二的人（或事） 其他 【名】 （Unique）尤妮克（人名）,unique style: 独特的风格 | unique feature: 特色；特性；独到之处 | unique opportunity: 唯一机会；极难得的机会
association,/ əˌsəʊsiˈeɪʃn; əˌsəʊʃiˈeɪʃn /,organization of people with the same interest,n. 协会，社团，联盟；交往，联合,association with: 与…的交往；与…联合 | trade association: 贸易协会；同业公会 | in association with: 与…相联系；与…联合
instrument,/ ˈɪnstrəmənt /,a piece of equipment used for a particular purpose such as making music or measuring something,n. 器械；乐器 v. 给……装备测量仪器,measuring instrument: [化]测量仪表 | musical instrument: 乐器 | test instrument: 试验仪器；测量设备
investor,/ ɪnˈvestər /,a person who gives money to help a business grow for a profit,n. 投资者，投资机构,foreign investor: 外国投资者 | investor confidence: 投资信心；投资者信任 | institutional investor: 有组织的集体投资者；金融机构投资者
practical,/ ˈpræktɪk(ə)l /,"relating to what is sensible, real, or useful rather than with ideas or theories",adj. 真实的，实际的；（计划、方法等）切实有效的，切实可行的 n. <英>（科学、烹饪等的）实践课，实用知识考试,practical application: 实际应用 | practical experience: 实务经验，实践经验，实际经验 | practical value: 实际价值
tea,/ tiː /,drink made when you put dried leaves in hot water,n. 茶，茶水；（用其他植物叶子沏的）饮料 vi. <古>喝茶，吃下午茶 其他 【名】 （Tea）（柬）迪（人名）,green tea: 绿茶 | cup of tea: n. 命运；心爱之人或物 | black tea: 红茶
lovely,/ ˈlʌvli /,attractive or beautiful,adj. 可爱的，迷人的；令人愉快的，美好的 n. <非正式>美女，佳人；可爱的东西,lovely girl: 可爱的姑娘
soft,/ sɔːft /,"easy to press, bend or cut; not hard or firm",adj. 易弯曲的，柔软的；柔滑的，细嫩的 adv. 温柔地；<美>轻轻地 n. 柔性；柔软的东西,soft tissue: 软组织 | soft soil: 软土，软泥地 | soft rock: 比较轻柔的摇滚乐；软岩石
row,/ roʊ /,a straight line of people or things; one after another,n. 一排，一行；（剧院、体育场等的）一排座位 v. 划（船）；划船送（某人或某物） 其他 【名】 （Row）（英）罗（人名）,in a row: 连续；成一长行 | front row: 前排，头一排 | single row: 单排；单行
youth,/ juːθ /,when you are young; a young person,n. 青少年时期；早期，初期,youth league: 青年团 | youth hostel: 青年招待所；青年（学生）宿舍 | the communist youth league: 共产主义青年团
lock,/ lɑːk /,to close something with a device so others can't open it,v. 锁住，把……锁起来；固定，卡住 n. 锁；一缕头发 其他 【名】 （Lock）（美）洛克（人名）,lock up: 把…锁起来；关起来 | ship lock: 船闸 | lock in: 把……关在里面
fuel,/ ˈfjuːəl /,material used to produce heat or power when burned,n. 燃料，燃烧剂；刺激因素，刺激性言行 v. （给……）提供燃料，加油；刺激，加剧 其他 【名】 （Fuel）（美）傅爱乐（人名）,fuel cell: 燃料电池 | fuel consumption: 耗油量 | fuel oil: 燃料油，燃油，重油
expectation,/ ˌekspekˈteɪʃn /,a belief or hope that something is going to happen,n. 期待，预期；期望，指望,in expectation: 期望着；意料之中 | expectation value: 期待值 | expectation of life: 平均寿命；预期寿命（等于life expectancy）
employment,/ ɪmˈplɔɪmənt /,having a job; work done for money,n. 雇用；使用，利用,obtain employment: 就业，找到工作 | in employment: 在工作 | employment rate: 就业率；雇用率；人力资源新进率
celebrate,/ ˈselɪbreɪt /,"to observe an event or occasion (e.g., a birthday)",v. 庆祝，庆贺；赞扬，赞美,celebrate with: 庆祝 | celebrate christmas: 庆祝圣诞
sexual,/ ˈsekʃuəl /,concerning physical activity that can produce babies,adj. 性的，性行为的；性别的,sexual intercourse: 性交 | sexual harassment: 性骚扰 | sexual behavior: 性行为
shoulder,/ ˈʃoʊldər /,the part of the body where an arm attaches or joins,n. 肩，肩膀；双肩，上背部（shoulders） v. 承担，担负；挤，闯,shoulder to shoulder: adv. 肩并肩地；齐心协力地 | cold shoulder: 冷遇；冷淡对待 | shoulder joint: n. 肩关节
breath,/ breθ /,air you take in and out of your body,n. 呼吸，气息；一次吸入的空气,deep breath: 深呼吸 | take a deep breath: 深呼吸 | out of breath: 喘不过气来，上气不接下气
increasingly,/ ɪnˈkriːsɪŋli /,more and more; in greater degree or amount,adv. 越来越多地，不断增加地,
import,/ ˈɪmpɔːrt /,to bring items or goods from one country into another,n. 进口，进口商品；输入，引进 v. 进口，输入，引进；导入（计算机）,import and export: 进出口；导入和导出；输入和输出 | import and export corporation: [经]进出口公司 | import license: 进口许可证
bottle,/ ˈbɑːt(ə)l /,a container with a narrow neck used to hold liquids like water or wine,n. 瓶子；一瓶（的量） v. 装瓶；<非正式>用玻璃瓶砸,a bottle of: 一瓶 | on the bottle: ◎靠奶瓶喂养；吮吸奶瓶 | glass bottle: 玻璃瓶
ourselves,/ ɑːrˈselvz /,used by a speaker to show that they and one or more people are affected by their action,pron. 我们自己；我们亲自,by ourselves: 我们自己；独自地 | between ourselves: 只限于咱们之间；秘密的
sheet,/ ʃiːt /,"a large piece of fabric or material that is used to cover something, often a bed",n. 床单，被单；布罩，盖布 v. （用布）盖上，裹上；把（帆）扣紧（或放松） 其他 【名】 （Sheet）（英）希特（人名）,sheet metal: 金属薄片 | balance sheet: 资产负债表 | steel sheet: 钢片；薄钢板
engine,/ ˈendʒɪn /,a machine that changes energy into motion,n. 发动机，引擎；机车，火车头,diesel engine: 柴油机（等于diesel） | search engine: 搜索引擎 | gasoline engine: 汽油机，汽油发动机
